relative_time_s,throughput,processed_count,drop_rate,avg_delay_processed
75,110.4,95.6,0.13622180618703753,1.203194560669456
76,78.0,64.4,0.1366835961864029,1.207816770186335
77,127.6,112.6,0.13484821898578697,1.416039076376554
78,96.0,82.6,0.13651488616462346,1.504547215496368
79,154.8,140.0,0.13473233404710921,1.6288642857142857
80,125.0,105.6,0.13635975036334103,1.7559469696969694
81,195.2,175.0,0.13403350837709427,1.707950857142857
82,149.0,126.8,0.1359061798220078,1.7131608832807568
83,214.6,194.6,0.13391416585995483,1.7190554984583757
84,158.8,137.2,0.1355877616747182,1.681944606413994
85,218.4,197.8,0.1327329678935004,1.6847512639029323
86,149.6,128.4,0.13415682902040496,1.7116853582554519
87,145.0,128.4,0.13244376667937477,1.7116853582554519
88,138.6,120.4,0.13435788192331102,2.2259833887043188
89,183.2,163.0,0.13442373526055534,2.0687852760736196
90,120.4,102.4,0.13265988264131323,2.2922949218749995
91,156.8,140.0,0.13256000583643393,2.0653214285714285
92,157.6,140.0,0.1331923890063425,2.0653214285714285
93,129.0,114.0,0.13282596209075245,1.5482263157894736
94,82.6,71.4,0.13313715639130122,1.5027198879551817
95,120.0,105.8,0.13191097249787354,1.4417996219281661
96,79.2,68.2,0.1326487252124646,1.4388328445747798
97,134.0,118.6,0.1325696724174059,1.4185868465430014
98,101.4,84.8,0.13299357721306898,1.3604268867924527
99,161.4,141.6,0.1323015818667397,1.3573629943502823
100,124.4,107.2,0.13301402668491277,1.3708432835820892
101,190.8,163.6,0.13210960005359415,1.3193594132029338
102,136.8,113.2,0.13280674743958765,1.2873780918727915
103,214.0,182.4,0.13359078413404896,1.2731392543859648
104,154.0,125.6,0.13410087002027868,1.2371194267515921
105,222.6,192.2,0.13401338858782277,1.264316337148803
106,156.4,135.8,0.1346754156845257,1.2820972017673047
107,218.4,187.0,0.13306753052579118,1.2457914438502675
108,140.0,117.8,0.13349937733499379,1.2434091680814938
109,188.2,163.2,0.13474571097136578,1.3987965686274508
110,121.8,96.6,0.13506255721696675,1.456151138716356
111,161.4,136.0,0.13457146291621588,1.5341514705882353
112,102.2,84.8,0.13576616049456816,1.766396226415094
113,138.4,121.4,0.13464160787336218,1.77493410214168
114,91.4,76.0,0.13582001184132622,1.7587763157894736
115,128.6,114.2,0.13456696141008373,1.710527145359019
116,91.6,74.8,0.13547821000292484,1.7026978609625665
117,135.4,118.0,0.13488210818307905,1.6684762711864405
118,100.8,81.4,0.13593073593073593,1.6117149877149874
119,154.4,130.8,0.135538225081118,1.6007247706422014
120,117.8,92.6,0.1362266082702918,1.5950280777537793
121,182.6,156.4,0.1362288017014608,1.6101457800511507
122,167.75,141.5,0.13748393226401387,1.6104982332155473
123,219.0,188.66666666666666,0.13630880579010857,1.6104982332155473
