relative_time_s,throughput,processed_count,drop_rate,avg_delay_processed
36,204.6,203.2,0.005950095969289827,1.9720935039370078
37,247.6,245.8,0.00593387962701328,1.9657428803905614
38,225.4,223.2,0.006187090220703666,1.9571693548387097
39,244.8,242.8,0.006137152005692431,2.006874794069193
40,270.2,268.0,0.0063480867571856815,2.05045
41,272.2,270.8,0.006183442116111302,2.1109689807976366
42,189.4,188.4,0.006183155080213904,2.188252653927813
43,195.8,195.4,0.006070549630844955,2.4033664278403273
44,211.4,210.8,0.006070549630844955,2.4677039848197344
45,324.0,323.6,0.006006006006006006,3.553736711990111
46,391.4,390.4,0.005905046846704984,3.450402151639344
47,453.8,452.2,0.005593170444509862,3.2801304732419285
48,489.8,487.6,0.00558422280342122,3.1298990976210006
49,468.2,465.8,0.005671208244000276,3.1419111206526407
50,340.0,337.2,0.005754908598510494,2.3618048635824436
51,274.0,271.4,0.0057838053450339055,2.1904362564480473
52,252.0,249.8,0.005886970172684459,2.1892393915132105
53,228.6,226.6,0.00592898111748405,2.15843601059135
54,213.8,211.6,0.005916406896112984,2.1254593572778826
55,204.8,203.2,0.005969961666561931,2.1284124015748027
56,199.6,198.0,0.006082800571038421,2.0819393939393938
57,203.0,201.4,0.006007846983815596,2.0355858987090367
58,214.0,212.6,0.006055101422948834,2.0216208842897463
59,233.4,232.2,0.006035616110911916,1.9850111972437554
60,256.6,254.4,0.006006006006006006,1.976323113207547
61,333.0,331.0,0.006019215186942933,1.9749897280966768
62,313.4,311.2,0.0061949417448138675,1.9659948586118252
63,380.2,378.2,0.00605060506050605,1.9728244315177155
64,321.4,319.6,0.006119884159335555,1.9855419274092614
65,311.4,310.0,0.00593094683329803,2.02106064516129
66,324.2,322.6,0.005983584855705586,2.4266429014259145
67,365.6,364.0,0.006056808688387635,2.3948467032967033
68,306.4,304.4,0.005959294985101763,2.4772956636005254
69,359.0,357.0,0.005961548015301307,2.4115736694677867
70,380.2,378.8,0.005975705329153605,2.3555116156283
71,262.6,261.0,0.005947775628626692,2.02571877394636
72,234.4,232.4,0.005842397758039235,2.0661884681583476
73,212.8,211.0,0.005967604433077579,2.1189488151658766
74,195.2,193.2,0.006102999859161542,2.1436262939958586
75,158.0,155.6,0.006098696461824953,2.205588688946015
76,186.2,184.2,0.006141485038788326,2.1985580890336585
77,197.0,195.6,0.006180469715698393,2.1447464212678935
78,217.0,215.4,0.00616919936493536,2.1220074280408543
79,242.2,240.4,0.006147357085165575,2.110328618968386
80,268.6,266.8,0.006159982273432307,2.0856506746626686
81,298.6,296.6,0.0062098220142563516,2.0686028320971
82,326.4,324.4,0.006210644354351764,2.0694469790382244
83,343.2,341.2,0.006202736001359504,2.0509759671746775
84,354.8,353.2,0.006145998829333556,2.056392978482446
85,362.4,360.8,0.006136485317738149,2.067561529933481
86,359.8,358.4,0.006087415283470638,2.082573102678571
87,350.0,348.4,0.006080486438915113,2.093731343283582
88,338.2,336.6,0.006038599676362632,2.106421865715983
89,318.4,316.8,0.006038647342995169,2.107712121212121
90,291.4,289.6,0.006044971507777607,2.1092237569060774
91,266.0,264.4,0.006022948195021538,2.089721633888048
92,241.8,240.6,0.006085806085806086,2.0706209476309225
93,217.8,217.0,0.006037424532193348,2.061140092165898
94,201.6,200.4,0.005990251888231574,2.041384231536926
95,194.8,194.2,0.00594952145153542,2.0047075180226566
96,194.8,194.0,0.006020336992034066,1.9884762886597938
97,241.4,240.0,0.005979073243647235,1.9595074999999997
98,262.4,260.8,0.0059693932925726275,1.9323044478527607
99,288.6,287.0,0.005982053838484547,1.9045742160278742
100,313.2,311.4,0.005956366968596905,1.9051335902376363
101,293.8,292.2,0.005996374285315856,1.8960164271047224
102,323.2,321.6,0.005966545956199345,1.8841753731343283
103,344.2,342.2,0.0059429749227069735,1.8926873173582697
104,307.2,305.8,0.005925925925925926,1.893343361674297
105,319.8,318.6,0.0059480295075430316,1.9632561205273067
106,365.2,363.8,0.005923229649238915,2.0367119296316654
107,309.0,307.8,0.005850820422305027,2.142779077322937
108,293.8,293.0,0.0058184639255236615,2.217603412969283
109,329.8,328.4,0.005824931989118259,2.2738477466504263
110,305.0,303.2,0.005797927953616577,2.2829182058047492
111,282.8,281.2,0.005836392732749694,2.267332859174964
112,264.2,262.8,0.005853233288707619,2.2578911719939114
113,227.2,225.8,0.005811437403400309,2.288242692648361
